id	modified	bibliographicCitation	references	institutionCode	collectionCode	basisOfRecord	materialSampleID	occurrenceID	catalogNumber	occurrenceRemarks	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	occurrenceStatus	preparations	otherCatalogNumbers	associatedReferences	organismID	associatedOccurrences	eventID	samplingProtocol	sampleSizeValue	sampleSizeUnit	eventDate	eventTime	year	month	verbatimEventDate	fieldNumber	waterBody	country	stateProvince	county	locality	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	footprintWKT	identifiedBy	dateIdentified	identificationReferences	identificationRemarks	identificationQualifier	typeStatus	scientificNameID	taxonConceptID	scientificName	kingdom	phylum	class	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	vernacularName
{2D4F2674-9804-451F-0821-4BD4D2E2DE15}	2018-07-13T09:31:37			AIMS	CReefs - Lizard Island 2009	HumanObservation		{2D4F2674-9804-451F-0821-4BD4D2E2DE15}	{2D4F2674-9804-451F-0821-4BD4D2E2DE15}					1	individuals			present										2009-02-27							Australia				11	11	-14.3902	145.2737	200	0.0018	POINT (145.27370 -14.39020)							urn:lsid:marinespecies.org:taxname:208677		Calcinus latens	Animalia	Arthropoda	Malacostraca	Diogenidae	Calcinus				Species	(Randall, 1840)	
{23B3F686-93BD-400E-8B59-068F7823686E}	2018-07-13T09:31:36			AIMS	CReefs - Lizard Island 2009	HumanObservation		{23B3F686-93BD-400E-8B59-068F7823686E}	{23B3F686-93BD-400E-8B59-068F7823686E}					1	individuals			present										2009-02-27							Australia				27.5	27.5	-14.47502	145.53661	200	0.0018	POINT (145.53661 -14.47502)							urn:lsid:marinespecies.org:taxname:367446		Calcinus lineapropodus	Animalia	Arthropoda	Malacostraca	Diogenidae	Calcinus				species	Morgan & Forest, 1991	
{234D88EA-7D70-4089-A465-05E5062F7057}	2018-07-13T09:31:36			AIMS	CReefs - Lizard Island 2009	HumanObservation		{234D88EA-7D70-4089-A465-05E5062F7057}	{234D88EA-7D70-4089-A465-05E5062F7057}					1	individuals			present										2009-02-27							Australia				27.5	27.5	-14.47502	145.53661	200	0.0018	POINT (145.53661 -14.47502)							urn:lsid:marinespecies.org:taxname:367446		Calcinus lineapropodus	Animalia	Arthropoda	Malacostraca	Diogenidae	Calcinus				species	Morgan & Forest, 1991	
{DEC3FF80-B96C-4823-8D9F-8D9F9F28BCFF}	2018-07-13T09:31:36			AIMS	CReefs - Lizard Island 2009	HumanObservation		{DEC3FF80-B96C-4823-8D9F-8D9F9F28BCFF}	{DEC3FF80-B96C-4823-8D9F-8D9F9F28BCFF}					1	individuals			present										2009-02-27							Australia				8.5	8.5	-14.47269	145.2921	200	0.0018	POINT (145.29210 -14.47269)							urn:lsid:marinespecies.org:taxname:367448		Calcinus minutus	Animalia	Arthropoda	Malacostraca	Diogenidae	Calcinus				species	Buitendijk, 1937	
{E4ED9F9B-8DC0-4B13-8C58-5A2547D6C45E}	2018-07-13T09:31:37			AIMS	CReefs - Lizard Island 2009	HumanObservation		{E4ED9F9B-8DC0-4B13-8C58-5A2547D6C45E}	{E4ED9F9B-8DC0-4B13-8C58-5A2547D6C45E}					1	individuals			present										2009-02-27							Australia				1	1	-14.74829	145.51649	200	0.0018	POINT (145.51649 -14.74829)							urn:lsid:marinespecies.org:taxname:367449		Calcinus morgani	Animalia	Arthropoda	Malacostraca	Diogenidae	Calcinus				species	Rahayu & Forest, 1999	
{776A5C38-4A99-459A-BDF9-92B75DE03793}	2018-07-13T09:31:37			AIMS	CReefs - Lizard Island 2009	HumanObservation		{776A5C38-4A99-459A-BDF9-92B75DE03793}	{776A5C38-4A99-459A-BDF9-92B75DE03793}					1	individuals			present										2009-02-27							Australia				10	10	-14.74291	145.51427	200	0.0018	POINT (145.51427 -14.74291)							urn:lsid:marinespecies.org:taxname:367449		Calcinus morgani	Animalia	Arthropoda	Malacostraca	Diogenidae	Calcinus				species	Rahayu & Forest, 1999	
{607FACE7-F151-4559-8DC5-60F21BFE517A}	2018-07-13T09:31:37			AIMS	CReefs - Lizard Island 2009	HumanObservation		{607FACE7-F151-4559-8DC5-60F21BFE517A}	{607FACE7-F151-4559-8DC5-60F21BFE517A}					1	individuals			present										2009-02-27							Australia				8.5	8.5	-14.47269	145.2921	200	0.0018	POINT (145.29210 -14.47269)							urn:lsid:marinespecies.org:taxname:367449		Calcinus morgani	Animalia	Arthropoda	Malacostraca	Diogenidae	Calcinus				species	Rahayu & Forest, 1999	
{5DE2E968-21AA-4C9C-94CD-0B38E37DDBD5}	2018-07-13T09:31:36			AIMS	CReefs - Lizard Island 2009	HumanObservation		{5DE2E968-21AA-4C9C-94CD-0B38E37DDBD5}	{5DE2E968-21AA-4C9C-94CD-0B38E37DDBD5}					1	individuals			present										2009-02-27							Australia				1.5	1.5	-14.66455	145.4509	200	0.0018	POINT (145.45090 -14.66455)							urn:lsid:marinespecies.org:taxname:367453		Calcinus pulcher	Animalia	Arthropoda	Malacostraca	Diogenidae	Calcinus				species	Forest, 1958	
{ADC81929-C3B3-4B14-9297-7F4C64636F89}	2018-07-13T09:31:36			AIMS	CReefs - Lizard Island 2009	HumanObservation		{ADC81929-C3B3-4B14-9297-7F4C64636F89}	{ADC81929-C3B3-4B14-9297-7F4C64636F89}					1	individuals			present										2009-02-27							Australia				8.5	8.5	-14.47269	145.2921	200	0.0018	POINT (145.29210 -14.47269)							urn:lsid:marinespecies.org:taxname:367449		Calcinus morgani	Animalia	Arthropoda	Malacostraca	Diogenidae	Calcinus				species	Rahayu & Forest, 1999	
{D4C09F55-0956-4BED-BEF5-DA41E061BBF8}	2018-07-13T09:31:36			AIMS	CReefs - Lizard Island 2009	HumanObservation		{D4C09F55-0956-4BED-BEF5-DA41E061BBF8}	{D4C09F55-0956-4BED-BEF5-DA41E061BBF8}					1	individuals			present										2009-02-27							Australia				10	10	-14.74291	145.51427	200	0.0018	POINT (145.51427 -14.74291)							urn:lsid:marinespecies.org:taxname:367453		Calcinus pulcher	Animalia	Arthropoda	Malacostraca	Diogenidae	Calcinus				species	Forest, 1958	
{D0B07C69-AC28-4866-A76F-98DA62701ECC}	2018-07-13T09:31:36			AIMS	CReefs - Lizard Island 2009	HumanObservation		{D0B07C69-AC28-4866-A76F-98DA62701ECC}	{D0B07C69-AC28-4866-A76F-98DA62701ECC}					1	individuals			present										2009-02-27							Australia				11	11	-14.3902	145.2737	200	0.0018	POINT (145.27370 -14.39020)							urn:lsid:marinespecies.org:taxname:367453		Calcinus pulcher	Animalia	Arthropoda	Malacostraca	Diogenidae	Calcinus				species	Forest, 1958	
{53B7B96F-93B6-4D28-A961-18127D23EE2E}	2018-07-13T09:31:36			AIMS	CReefs - Lizard Island 2009	HumanObservation		{53B7B96F-93B6-4D28-A961-18127D23EE2E}	{53B7B96F-93B6-4D28-A961-18127D23EE2E}					3	individuals			present										2009-02-27							Australia				11	11	-14.3902	145.2737	200	0.0018	POINT (145.27370 -14.39020)							urn:lsid:marinespecies.org:taxname:367453		Calcinus pulcher	Animalia	Arthropoda	Malacostraca	Diogenidae	Calcinus				species	Forest, 1958	
{11B28E49-451D-4E78-A538-6AC72E2E3C29}	2018-07-13T09:31:36			AIMS	CReefs - Lizard Island 2009	HumanObservation		{11B28E49-451D-4E78-A538-6AC72E2E3C29}	{11B28E49-451D-4E78-A538-6AC72E2E3C29}					2	individuals			present										2009-02-27							Australia				11	11	-14.3902	145.2737	200	0.0018	POINT (145.27370 -14.39020)							urn:lsid:marinespecies.org:taxname:367453		Calcinus pulcher	Animalia	Arthropoda	Malacostraca	Diogenidae	Calcinus				species	Forest, 1958	
ECD943C0-5BC3-4EBA-8F42-D62F39CA8883	2018-07-13T09:31:35			AIMS	CReefs - Lizard Island 2009	HumanObservation		ECD943C0-5BC3-4EBA-8F42-D62F39CA8883	ECD943C0-5BC3-4EBA-8F42-D62F39CA8883					1	individuals			present										2009-02-27							Australia				0	0	-14.68227	145.46964	200	0.0018	POINT (145.46964 -14.68227)							urn:lsid:marinespecies.org:taxname:534106		Callistoctopus aspilosomatis	Animalia	Mollusca	Cephalopoda	Octopodidae	Callistoctopus				species	(Norman, 1993)	
